Step,Node_Name,Instruction,Latitude,Longitude
1.0,Navigation,Head east,13.8461,100.5739
2.0,Navigation,Passing Point,13.84609,100.57442
3.0,Navigation,Passing Point,13.84607,100.57514
3.5,Zebra Crossing between step 3 and 4,Caution: Zebra Crossing Ahead,13.846055,100.57546500000001
4.0,Navigation,Passing Point,13.84604,100.57579
5.0,Navigation,Passing Point,13.84601,100.57587
6.0,Navigation,Passing Point,13.84596,100.57593
6.5,Zebra Crossing between step 6 and 7,Caution: Zebra Crossing Ahead,13.84592,100.575955
7.0,Navigation,Passing Point,13.84588,100.57598
7.5,Zebra Crossing between step 7 and 8,Caution: Zebra Crossing Ahead,13.845775,100.57602
8.0,Navigation,Passing Point,13.84567,100.57606
8.5,Zebra Crossing between step 8 and 9,Caution: Zebra Crossing Ahead,13.845625,100.57607
9.0,Navigation,Passing Point,13.84558,100.57608
9.5,Zebra Crossing between step 9 and 10,Caution: Zebra Crossing Ahead,13.845525,100.5761
10.0,Navigation,Passing Point,13.84547,100.57612
11.0,Stop 1,You have arrived at your 1st destination,13.84547,100.57612
12.0,Navigation,Head south,13.84547,100.57612
13.0,Navigation,Passing Point,13.84529,100.57618
14.0,Navigation,Passing Point,13.8448,100.57636
15.0,Navigation,Passing Point,13.84448,100.57651
15.5,Speed Bump between step 15 and 16,Caution: Speed Bump Ahead,13.84448,100.57651
16.0,Navigation,Make a slight left,13.84448,100.57651
16.5,Speed Bump between step 16 and 17,Caution: Speed Bump Ahead,13.84436,100.576745
17.0,Navigation,Passing Point,13.84424,100.57698
17.5,Zebra Crossing between step 17 and 18,Caution: Zebra Crossing Ahead,13.84403,100.57736
18.0,Navigation,Passing Point,13.84382,100.57774
18.5,Speed Bump between step 18 and 19,Caution: Speed Bump Ahead,13.84381,100.577755
19.0,Navigation,Passing Point,13.8438,100.57777
19.5,Zebra Crossing between step 19 and 20,Caution: Zebra Crossing Ahead,13.8438,100.57777
20.0,Navigation,Make a U-turn,13.8438,100.57777
21.0,Navigation,Passing Point,13.84382,100.57774
21.5,Speed Bump between step 21 and 22,Caution: Speed Bump Ahead,13.84403,100.57736
22.0,Navigation,Passing Point,13.84424,100.57698
23.0,Navigation,Passing Point,13.84448,100.57651
23.5,Speed Bump between step 23 and 24,Caution: Speed Bump Ahead,13.844550000000002,100.57648
24.0,Navigation,Passing Point,13.84462,100.57645
25.0,Stop 2,You have arrived at your 2nd destination,13.84462,100.57645
26.0,Navigation,Head northwest,13.84462,100.57645
26.5,Speed Bump between step 26 and 27,Caution: Speed Bump Ahead,13.84471,100.576405
27.0,Navigation,Passing Point,13.8448,100.57636
27.5,Speed Bump between step 27 and 28,Caution: Speed Bump Ahead,13.845044999999999,100.57627
28.0,Navigation,Passing Point,13.84529,100.57618
29.0,Navigation,Passing Point,13.84558,100.57608
30.0,Navigation,Passing Point,13.84567,100.57606
31.0,Navigation,Turn right,13.84567,100.57606
32.0,Navigation,Passing Point,13.84585,100.57672
33.0,Navigation,Passing Point,13.84588,100.57678
33.5,Zebra Crossing between step 33 and 34,Caution: Zebra Crossing Ahead,13.845904999999998,100.576815
34.0,Navigation,Passing Point,13.84593,100.57685
34.5,Zebra Crossing between step 34 and 35,Caution: Zebra Crossing Ahead,13.845975,100.576885
35.0,Navigation,Passing Point,13.84602,100.57692
35.5,Zebra Crossing between step 35 and 36,Caution: Zebra Crossing Ahead,13.846095,100.57694000000001
36.0,Navigation,Passing Point,13.84617,100.57696
37.0,Navigation,Passing Point,13.84638,100.57704
37.5,Zebra Crossing between step 37 and 38,Caution: Zebra Crossing Ahead,13.846425,100.577065
38.0,Navigation,Passing Point,13.84647,100.57709
39.0,Navigation,Passing Point,13.84654,100.57712
40.0,Navigation,Passing Point,13.8466,100.57717
41.0,Navigation,Passing Point,13.84664,100.57721
42.0,Navigation,Passing Point,13.84667,100.57726
42.5,Zebra Crossing between step 42 and 43,Caution: Zebra Crossing Ahead,13.846685,100.57729
43.0,Navigation,Passing Point,13.8467,100.57732
44.0,Navigation,Passing Point,13.84671,100.57739
44.5,Zebra Crossing between step 44 and 45,Caution: Zebra Crossing Ahead,13.84671,100.57739
45.0,Navigation,Make a U-turn,13.84671,100.57739
46.0,Navigation,Passing Point,13.8467,100.57732
46.5,Zebra Crossing between step 46 and 47,Caution: Zebra Crossing Ahead,13.846685,100.57729
47.0,Navigation,Passing Point,13.84667,100.57726
47.5,Speed Bump between step 47 and 48,Caution: Speed Bump Ahead,13.846655,100.577235
48.0,Navigation,Passing Point,13.84664,100.57721
48.5,Zebra Crossing between step 48 and 49,Caution: Zebra Crossing Ahead,13.846620000000001,100.57719
49.0,Navigation,Passing Point,13.8466,100.57717
49.5,Zebra Crossing between step 49 and 50,Caution: Zebra Crossing Ahead,13.84657,100.577145
50.0,Navigation,Passing Point,13.84654,100.57712
50.5,Zebra Crossing between step 50 and 51,Caution: Zebra Crossing Ahead,13.846505,100.57710499999999
51.0,Navigation,Passing Point,13.84647,100.57709
51.5,Zebra Crossing between step 51 and 52,Caution: Zebra Crossing Ahead,13.846425,100.577065
52.0,Navigation,Passing Point,13.84638,100.57704
53.0,Navigation,Passing Point,13.84617,100.57696
54.0,Navigation,Passing Point,13.84602,100.57692
55.0,Navigation,Passing Point,13.84593,100.57685
55.5,Speed Bump between step 55 and 56,Caution: Speed Bump Ahead,13.845904999999998,100.576815
56.0,Navigation,Passing Point,13.84588,100.57678
57.0,Navigation,Passing Point,13.84585,100.57672
58.0,Navigation,Passing Point,13.84567,100.57606
