Step,Node_Name,Instruction,Latitude,Longitude
0.0,stop0,You have arrived at your destination,13.84547,100.57612
1.0,Navigation,Head south,13.84547,100.57612
1.5,Speed Bump 1,Caution: Speed Bump Ahead,13.844975000000002,100.576315
2.0,Navigation,Make a slight left,13.84448,100.57651
2.5,Speed Bump 2,Caution: Speed Bump Ahead,13.84414,100.57714
3.0,Navigation,Make a U-turn,13.8438,100.57777
4.0,stop1,You have arrived at your 1st destination,13.84462,100.57645
5.0,Navigation,Head northwest,13.84462,100.57645
5.5,Zebra Crossing 5,Caution: Zebra Crossing Ahead,13.845145,100.576255
6.0,Navigation,Turn right,13.84567,100.57606
6.5,Speed Bump 6,Caution: Speed Bump Ahead,13.84619,100.576725
7.0,Navigation,Make a U-turn,13.84671,100.57739
7.5,Speed Bump 7,Caution: Speed Bump Ahead,13.84619,100.576725
8.0,Navigation,Turn left,13.84567,100.57606
9.0,stop2,You have arrived at your 2nd destination,13.84547,100.57612
10.0,Navigation,Head south,13.84547,100.57612
11.0,stop3,You have arrived at your 3rd destination,13.84462,100.57645
12.0,Navigation,Head southeast,13.84462,100.57645
12.5,Zebra Crossing 12,Caution: Zebra Crossing Ahead,13.844550000000002,100.57648
13.0,Navigation,Make a slight left,13.84448,100.57651
13.5,Zebra Crossing 13,Caution: Zebra Crossing Ahead,13.84414,100.57714
14.0,Navigation,Make a U-turn,13.8438,100.57777
14.5,Speed Bump 14,Caution: Speed Bump Ahead,13.84498,100.575135
15.0,Navigation,Turn right,13.84616,100.5725
16.0,stop4,You have arrived at your 4th destination,13.84776,100.5725
17.0,Navigation,Head north,13.84776,100.5725
18.0,stop5,You have arrived at your 5th destination,13.8501,100.57251
19.0,Navigation,Head north,13.8501,100.57251
20.0,stop6,You have arrived at your 6th destination on the left,13.85162,100.57251
21.0,Navigation,Head north,13.85162,100.57251
22.0,stop7,You have arrived at your 7th destination,13.85208,100.57252
23.0,Navigation,Head north,13.85208,100.57252
23.5,Zebra Crossing 23,Caution: Zebra Crossing Ahead,13.85229,100.57253
24.0,Navigation,Turn right,13.8525,100.57254
24.5,Speed Bump 24,Caution: Speed Bump Ahead,13.852934999999999,100.57545
25.0,Navigation,Turn right onto Thawisak Sesawet Road,13.85337,100.57836
26.0,stop8,You have arrived at your 8th destination on the left,13.85347,100.57915
27.0,Navigation,Head east on Thawisak Sesawet Road,13.85347,100.57915
27.5,Speed Bump 27,Caution: Speed Bump Ahead,13.853555,100.57982
28.0,Navigation,Turn right onto Soi Phahonyothin 45,13.85364,100.58049
29.0,stop9,You have arrived at your 9th destination,13.85296,100.58056
30.0,Navigation,Head south on Soi Phahonyothin 45,13.85296,100.58056
30.5,Zebra Crossing 30,Caution: Zebra Crossing Ahead,13.852744999999999,100.580585
31.0,Navigation,Turn right,13.85253,100.58061
31.5,Speed Bump 31,Caution: Speed Bump Ahead,13.852505,100.58016
32.0,Navigation,Turn right,13.85248,100.57971
32.5,Zebra Crossing 32,Caution: Zebra Crossing Ahead,13.852635,100.579695
33.0,Navigation,Make a U-turn,13.85279,100.57968
33.5,Speed Bump 33,Caution: Speed Bump Ahead,13.852635,100.579695
34.0,Navigation,Turn left,13.85248,100.57971
34.5,Zebra Crossing 34,Caution: Zebra Crossing Ahead,13.852505,100.58016
35.0,Navigation,Turn left onto Soi Phahonyothin 45,13.85253,100.58061
35.5,Zebra Crossing 35,Caution: Zebra Crossing Ahead,13.853085,100.58054999999999
36.0,Navigation,Turn left onto Thawisak Sesawet Road,13.85364,100.58049
37.0,stop10,You have arrived at your 10th destination on the left,13.85349,100.57934
38.0,Navigation,Head west on Thawisak Sesawet Road,13.85349,100.57934
38.5,Zebra Crossing 38,Caution: Zebra Crossing Ahead,13.85343,100.57885
39.0,Navigation,Turn left,13.85337,100.57836
40.0,stop11,You have arrived at your destination,13.85311,100.57839
41.0,Navigation,Head south,13.85311,100.57839
42.0,stop12,You have arrived at your destination,13.85253,100.5769
43.0,Navigation,Head west,13.85253,100.5769
43.5,Speed Bump 43,Caution: Speed Bump Ahead,13.852515,100.57472
44.0,Navigation,Turn left,13.8525,100.57254
45.0,stop13,You have arrived at your destination,13.85153,100.5726
46.0,Navigation,Head south,13.85153,100.5726
47.0,stop14,You have arrived at your destination,13.85043,100.57259
48.0,Navigation,Head south,13.85043,100.57259
49.0,stop15,You have arrived at your destination,13.84874,100.57259
50.0,Navigation,Head south,13.84874,100.57259
51.0,stop16,You have arrived at your destination,13.8478,100.57258
52.0,Navigation,Head south,13.8478,100.57258
53.0,stop17,You have arrived at your destination on the left,13.84649,100.57257
54.0,Navigation,Head south,13.84649,100.57257
54.5,Zebra Crossing 54,Caution: Zebra Crossing Ahead,13.846325,100.57257
55.0,Navigation,Turn left,13.84616,100.57257
56.0,stop18,You have arrived at your destination on the right,13.8461,100.5739
57.0,Navigation,Head east,13.8461,100.5739
